term,category
boeuf,off_corpus
bohnen,off_corpus
bohnenkraut,off_corpus
boil,off_corpus
boiled,off_corpus
boiling,off_corpus
bois,off_corpus
boisson,off_corpus
boite,off_corpus
boja,off_corpus
bojilo,off_corpus
bok,off_corpus
bold,off_corpus
bolets,off_corpus
boletus,off_corpus
bon,off_corpus
bonbons,off_corpus
bone,off_corpus
boneless,off_corpus
bonen,off_corpus
bones,off_corpus
bor,off_corpus
borlotti,off_corpus
bosco,off_corpus
boter,off_corpus
both,off_corpus
bottle,off_corpus
bottled,off_corpus
bottom,off_corpus
bouch,off_corpus
bouillon,off_corpus
bouillons,off_corpus
boulang,off_corpus
boulanger,off_corpus
boulangerie,off_corpus
boulettes,off_corpus
boulgour,off_corpus
bourbon,off_corpus
bourbon-vanille,off_corpus
bourbon-vanilleextrakt,off_corpus
bourgogne,off_corpus
bouteille,off_corpus
bovin,off_corpus
bovina,off_corpus
bovine,off_corpus
bovino,off_corpus
bowl,off_corpus
box,off_corpus
boyau,off_corpus
boyaux,off_corpus
bpf,off_corpus
bra,off_corpus
bramborov,off_corpus
bramley,off_corpus
bran,off_corpus
branco,off_corpus
brand,off_corpus
brands,off_corpus
brandy,off_corpus
branntweinessig,off_corpus
brass,off_corpus
brauner,off_corpus
brauwasser,off_corpus
brazil,off_corpus
bread,off_corpus
breadcrumb,off_corpus
breadcrumbs,off_corpus
breaded,off_corpus
breading,off_corpus
breakfast,off_corpus
breast,off_corpus
breasts,off_corpus
brebis,off_corpus
brennwert,off_corpus
bretagne,off_corpus
brew,off_corpus
brewed,off_corpus
brewer's,off_corpus
brie,off_corpus
brillant,off_corpus
brillantblau,off_corpus
brillante,off_corpus
brilliant,off_corpus
bring,off_corpus
bringeb,off_corpus
brioche,off_corpus
bris,off_corpus
brisure,off_corpus
brisures,off_corpus
british,off_corpus
broad,off_corpus
broccoli,off_corpus
brocoli,off_corpus
brocolis,off_corpus
brodo,off_corpus
broken,off_corpus
brokkoli,off_corpus
bromate,off_corpus
brombeerbl,off_corpus
brombeeren,off_corpus
bromelain,off_corpus
brominated,off_corpus
bron,off_corpus
brot,off_corpus
broth,off_corpus
browned,off_corpus
brownie,off_corpus
broy,off_corpus
bruine,off_corpus
brun,off_corpus
brune,off_corpus
brussels,off_corpus
brut,off_corpus
bubuk,off_corpus
buchenholzrauch,off_corpus
buchweizen,off_corpus
buckwheat,off_corpus
buffalo,off_corpus
bufflonne,off_corpus
bulgaricus,off_corpus
bulgur,off_corpus
bulking,off_corpus
bun,off_corpus
burger,off_corpus
burgundy,off_corpus
burnt,off_corpus
burro,off_corpus
but,off_corpus
butterfat,off_corpus
butterfett,off_corpus
buttermilch,off_corpus
buttermilchpulver,off_corpus
buttermilk,off_corpus
butternut,off_corpus
butteroil,off_corpus
butterreinfett,off_corpus
button,off_corpus
butyrique,off_corpus
butyrospermum,off_corpus
bygg,off_corpus
c'est,off_corpus
cabbage,off_corpus
cabernet,off_corpus
cabillaud,off_corpus
cabra,off_corpus
cac,off_corpus
caca,off_corpus
cacahu,off_corpus
cacahuate,off_corpus
cacahuete,off_corpus
cacahuetes,off_corpus
cacao,off_corpus
cacao',off_corpus
cacaobestanddelen,off_corpus
cacaoboter,off_corpus
cacaomassa,off_corpus
cacaopoeder,off_corpus
cacau,off_corpus
cada,off_corpus
cadbury,off_corpus
caducidad,off_corpus
caesar,off_corpus
caf,off_corpus
cafe,off_corpus
cafeina,off_corpus
caff,off_corpus
caffeine,off_corpus
cage,off_corpus
cage-free,off_corpus
caglio,off_corpus
caill,off_corpus
cajou,off_corpus
caju,off_corpus
cajun,off_corpus
cake,off_corpus
cakes,off_corpus
caking,off_corpus
cal,off_corpus
calabac,off_corpus
calabaza,off_corpus
calcareum,off_corpus
calcif,off_corpus
calcio,off_corpus
calciu,off_corpus
calcium-d-pantothenat,off_corpus
calciumcarbonaat,off_corpus
calciumcarbonat,off_corpus
calciumchlorid,off_corpus
calciumcitrate,off_corpus
calciumlactat,off_corpus
calciumphosphate,off_corpus
calciumpropionat,off_corpus
calciumsulfat,off_corpus
caldo,off_corpus
calendula,off_corpus
calibre,off_corpus
california,off_corpus
call,off_corpus
calor,off_corpus
calore,off_corpus
calorias,off_corpus
calorie,off_corpus
calories,off_corpus
calvados,off_corpus
camargue,off_corpus
camauba,off_corpus
came,off_corpus
camellia,off_corpus
camembert,off_corpus
camera,off_corpus
camomille,off_corpus
camu,off_corpus
can,off_corpus
cana,off_corpus
canada,off_corpus
canadian,off_corpus
canard,off_corpus
candelilla,off_corpus
candi,off_corpus
candied,off_corpus
candies,off_corpus
candy,off_corpus
canela,off_corpus
canina,off_corpus
caniquement,off_corpus
caniques,off_corpus
canna,off_corpus
canne,off_corpus
canneberge,off_corpus
canneberges,off_corpus
cannella,off_corpus
cannelle,off_corpus
cannellini,off_corpus
cantidad,off_corpus
cantitate,off_corpus
cap,off_corpus
capers,off_corpus
capric,off_corpus
caprylic,off_corpus
caprylyl,off_corpus
capsule,off_corpus
capsules,off_corpus
car,off_corpus
cara,off_corpus
caract,off_corpus
carageenan,off_corpus
caram,off_corpus
caramelised,off_corpus
caramelizado,off_corpus
caramelized,off_corpus
caramellato,off_corpus
caramello,off_corpus
caramelo,off_corpus
caraway,off_corpus
carb,off_corpus
carbo,off_corpus
carbohidratos,off_corpus
carbohydrate,off_corpus
carbohydrates,off_corpus
carboidrati,off_corpus
carbomer,off_corpus
carbon,off_corpus
carbonat,off_corpus
